127.0.0.1 - - [27/Jun/2023:23:20:19 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:20:20 -0500] "GET /Centenario2023/Login.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:20:21 -0500] "GET /Centenario2023/Img/Fondo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:20:21 -0500] "GET /Centenario2023/Img/usuario.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:20:21 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:21:49 -0500] "POST /Centenario2023/ValidarServlet HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:22:20 -0500] "POST /Centenario2023/ValidarServlet HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:22:20 -0500] "GET /Centenario2023/Inicio.jsp HTTP/1.1" 200 6290
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:23:44 -0500] "GET /Centenario2023/Controlador?menu=Empleado&accion=Listar HTTP/1.1" 500 17879
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:23:46 -0500] "GET /Centenario2023/Controlador?menu=Empleado&accion=Listar HTTP/1.1" 500 17879
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:23:47 -0500] "GET /Centenario2023/Controlador?menu=Empleado&accion=Listar HTTP/1.1" 500 17879
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:23:48 -0500] "GET /Centenario2023/Controlador?menu=Empleado&accion=Listar HTTP/1.1" 500 17879
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:23:49 -0500] "GET /Centenario2023/Controlador?menu=Empleado&accion=Listar HTTP/1.1" 500 17879
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:23:50 -0500] "GET /Centenario2023/Controlador?menu=Empleado&accion=Listar HTTP/1.1" 500 17879
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:23:52 -0500] "GET /Centenario2023/Controlador?menu=Empleado&accion=Listar HTTP/1.1" 500 17879
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:23:53 -0500] "GET /Centenario2023/Controlador?menu=Combustible&accion=Listar HTTP/1.1" 500 11822
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:23:54 -0500] "GET /Centenario2023/Controlador?menu=Cliente&accion=Listar HTTP/1.1" 500 20739
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:23:55 -0500] "GET /Centenario2023/Controlador?menu=Empleado&accion=Listar HTTP/1.1" 500 17879
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:23:57 -0500] "GET /Centenario2023/Controlador?menu=Empleado&accion=Listar HTTP/1.1" 500 17879
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:24:35 -0500] "GET /Centenario2023/Controlador?menu=Cliente&accion=Listar HTTP/1.1" 500 20739
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:24:36 -0500] "GET /Centenario2023/Controlador?menu=Cliente&accion=Listar HTTP/1.1" 500 20739
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:25:02 -0500] "GET /Centenario2023/Controlador?menu=Combustible&accion=Listar HTTP/1.1" 500 11822
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:25:25 -0500] "GET /Centenario2023/Controlador?menu=Tienda&accion=Listar HTTP/1.1" 500 15712
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:25:46 -0500] "GET /Centenario2023/Controlador?menu=Venta&accion=default HTTP/1.1" 200 12550
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:26:17 -0500] "POST /Centenario2023/Controlador?menu=Venta HTTP/1.1" 200 12583
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:26:22 -0500] "POST /Centenario2023/Controlador?menu=Venta HTTP/1.1" 200 12589
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:26:26 -0500] "POST /Centenario2023/Controlador?menu=Venta HTTP/1.1" 200 12602
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:26:31 -0500] "POST /Centenario2023/Controlador?menu=Venta HTTP/1.1" 200 12609
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:26:34 -0500] "POST /Centenario2023/Controlador?menu=Venta HTTP/1.1" 200 12602
0:0:0:0:0:0:0:1 - - [27/Jun/2023:23:26:35 -0500] "POST /Centenario2023/Controlador?menu=Venta HTTP/1.1" 200 14172
